216.34.210.210 - - [14/Aug/2023:00:00:51 +0300] "PATCH /c/csharp.gcc HTTP/1.0" 400  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
210.5.92.25 - - [14/Aug/2023:00:13:48 +0300] "DELETE /downloads HTTP/1.1" 503  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
104.104.223.78 - - [14/Aug/2023:00:14:51 +0300] "GET /google.com HTTP/2" 400  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
55.136.122.54 - - [14/Aug/2023:00:16:07 +0300] "DELETE /c/csharp.gcc HTTP/1.1" 503  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
252.135.106.28 - - [14/Aug/2023:00:17:00 +0300] "DELETE /google.com HTTP/1.1" 401  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
163.73.254.81 - - [14/Aug/2023:00:17:57 +0300] "POST /c/csharp.gcc HTTP/2" 403  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
38.127.229.54 - - [14/Aug/2023:00:18:58 +0300] "GET /c/csharp.gcc HTTP/2" 400  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
237.52.131.95 - - [14/Aug/2023:00:20:19 +0300] "GET /main/yandex.ru HTTP/1.1" 200  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
118.120.132.185 - - [14/Aug/2023:00:21:23 +0300] "PATCH /google.com HTTP/2" 200  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
239.74.101.194 - - [14/Aug/2023:00:22:39 +0300] "PUT /main/yandex.ru HTTP/1.0" 201  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
137.34.157.43 - - [14/Aug/2023:00:24:03 +0300] "GET /c/csharp.gcc HTTP/1.1" 500  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
27.185.241.236 - - [14/Aug/2023:00:25:20 +0300] "PATCH /main/yandex.ru HTTP/1.0" 501  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
56.167.9.101 - - [14/Aug/2023:00:26:26 +0300] "POST /downloads HTTP/1.0" 201  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
73.62.193.19 - - [14/Aug/2023:00:27:38 +0300] "DELETE /forum/openforums.org HTTP/2" 200  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
27.87.144.26 - - [14/Aug/2023:00:28:56 +0300] "PUT /forum/openforums.org HTTP/1.0" 502  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
145.200.227.97 - - [14/Aug/2023:00:30:05 +0300] "DELETE /main/yandex.ru HTTP/1.0" 404  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
133.55.204.151 - - [14/Aug/2023:00:31:17 +0300] "PUT /main/yandex.ru HTTP/1.1" 403  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
163.51.137.155 - - [14/Aug/2023:00:32:25 +0300] "GET /google.com HTTP/1.0" 501  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
155.209.121.102 - - [14/Aug/2023:00:33:50 +0300] "PUT /main/yandex.ru HTTP/1.0" 404  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
131.38.231.181 - - [14/Aug/2023:00:34:40 +0300] "PUT /forum/openforums.org HTTP/2" 500  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
111.153.28.10 - - [14/Aug/2023:00:35:53 +0300] "PATCH /google.com HTTP/1.1" 400  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
55.194.96.95 - - [14/Aug/2023:00:37:08 +0300] "PATCH /forum/openforums.org HTTP/1.1" 503  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
235.243.53.74 - - [14/Aug/2023:00:38:23 +0300] "GET /forum/openforums.org HTTP/2" 500  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
10.173.203.238 - - [14/Aug/2023:00:39:33 +0300] "GET /forum/openforums.org HTTP/1.0" 400  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
191.247.170.40 - - [14/Aug/2023:00:40:27 +0300] "PUT /main/yandex.ru HTTP/1.0" 502  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
93.132.237.89 - - [14/Aug/2023:00:41:45 +0300] "GET /forum/openforums.org HTTP/2" 201  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
106.199.57.18 - - [14/Aug/2023:00:43:03 +0300] "PUT /forum/openforums.org HTTP/1.1" 500  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
81.152.109.45 - - [14/Aug/2023:00:44:04 +0300] "DELETE /c/csharp.gcc HTTP/2" 503  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
28.238.104.228 - - [14/Aug/2023:00:45:17 +0300] "PUT /forum/openforums.org HTTP/1.1" 502  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
82.183.210.230 - - [14/Aug/2023:00:46:29 +0300] "GET /forum/openforums.org HTTP/2" 201  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
212.13.2.52 - - [14/Aug/2023:00:47:23 +0300] "DELETE /downloads HTTP/1.1" 404  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
192.182.50.227 - - [14/Aug/2023:00:48:36 +0300] "POST /main/yandex.ru HTTP/2" 500  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
55.188.26.77 - - [14/Aug/2023:00:50:00 +0300] "DELETE /downloads HTTP/1.0" 501  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
168.68.56.159 - - [14/Aug/2023:00:51:04 +0300] "PUT /google.com HTTP/1.1" 503  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
117.183.133.132 - - [14/Aug/2023:00:52:04 +0300] "PUT /main/yandex.ru HTTP/1.1" 502  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
214.210.171.57 - - [14/Aug/2023:00:53:16 +0300] "POST /google.com HTTP/1.1" 404  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
200.115.112.7 - - [14/Aug/2023:00:54:09 +0300] "PUT /forum/openforums.org HTTP/1.0" 503  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
244.62.28.167 - - [14/Aug/2023:00:55:10 +0300] "PATCH /google.com HTTP/1.1" 200  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
66.92.120.95 - - [14/Aug/2023:00:56:08 +0300] "DELETE /downloads HTTP/2" 502  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
196.182.82.2 - - [14/Aug/2023:00:56:59 +0300] "GET /main/yandex.ru HTTP/2" 401  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
149.200.118.22 - - [14/Aug/2023:00:58:14 +0300] "POST /main/yandex.ru HTTP/1.1" 401  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
21.79.135.153 - - [14/Aug/2023:00:59:30 +0300] "POST /c/csharp.gcc HTTP/2" 200  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
163.60.245.193 - - [14/Aug/2023:01:00:37 +0300] "PUT /main/yandex.ru HTTP/1.0" 404  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
171.119.75.4 - - [14/Aug/2023:01:01:54 +0300] "GET /main/yandex.ru HTTP/1.1" 403  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
205.70.190.83 - - [14/Aug/2023:01:03:19 +0300] "GET /main/yandex.ru HTTP/1.0" 501  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
214.221.94.114 - - [14/Aug/2023:01:04:19 +0300] "PUT /downloads HTTP/2" 501  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
164.5.214.197 - - [14/Aug/2023:01:05:29 +0300] "PATCH /forum/openforums.org HTTP/1.0" 201  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
14.145.242.57 - - [14/Aug/2023:01:06:20 +0300] "POST /main/yandex.ru HTTP/1.0" 501  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
129.110.230.74 - - [14/Aug/2023:01:07:10 +0300] "POST /google.com HTTP/1.0" 201  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
60.23.213.140 - - [14/Aug/2023:01:08:12 +0300] "GET /c/csharp.gcc HTTP/2" 503  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
12.100.177.149 - - [14/Aug/2023:01:09:25 +0300] "DELETE /c/csharp.gcc HTTP/1.0" 201  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
9.68.64.46 - - [14/Aug/2023:01:10:17 +0300] "DELETE /c/csharp.gcc HTTP/1.1" 400  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
89.116.41.62 - - [14/Aug/2023:01:11:25 +0300] "POST /downloads HTTP/1.1" 501  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
177.191.158.17 - - [14/Aug/2023:01:12:17 +0300] "GET /main/yandex.ru HTTP/2" 403  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
185.17.189.217 - - [14/Aug/2023:01:13:40 +0300] "PATCH /main/yandex.ru HTTP/1.1" 201  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
112.91.176.111 - - [14/Aug/2023:01:14:53 +0300] "GET /google.com HTTP/1.1" 403  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
203.41.122.64 - - [14/Aug/2023:01:15:43 +0300] "POST /c/csharp.gcc HTTP/1.0" 201  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
20.196.172.118 - - [14/Aug/2023:01:16:41 +0300] "PUT /google.com HTTP/2" 403  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
7.95.133.245 - - [14/Aug/2023:01:18:03 +0300] "GET /forum/openforums.org HTTP/2" 502  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
241.253.10.62 - - [14/Aug/2023:01:19:25 +0300] "DELETE /forum/openforums.org HTTP/2" 401  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
12.130.42.28 - - [14/Aug/2023:01:20:20 +0300] "GET /c/csharp.gcc HTTP/1.0" 200  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
135.99.91.222 - - [14/Aug/2023:01:21:23 +0300] "PATCH /main/yandex.ru HTTP/1.1" 503  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
203.124.224.179 - - [14/Aug/2023:01:22:25 +0300] "PATCH /forum/openforums.org HTTP/2" 403  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
36.112.107.186 - - [14/Aug/2023:01:23:38 +0300] "GET /main/yandex.ru HTTP/1.1" 502  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
55.154.162.193 - - [14/Aug/2023:01:25:01 +0300] "POST /c/csharp.gcc HTTP/1.0" 404  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
118.188.69.182 - - [14/Aug/2023:01:25:56 +0300] "POST /google.com HTTP/1.0" 401  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
53.4.113.148 - - [14/Aug/2023:01:26:57 +0300] "PATCH /google.com HTTP/2" 501  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
48.185.36.218 - - [14/Aug/2023:01:28:00 +0300] "POST /downloads HTTP/1.1" 201  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
184.28.97.213 - - [14/Aug/2023:01:29:13 +0300] "GET /forum/openforums.org HTTP/2" 201  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
177.58.206.252 - - [14/Aug/2023:01:30:32 +0300] "PUT /google.com HTTP/1.1" 503  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
252.138.133.166 - - [14/Aug/2023:01:31:27 +0300] "PATCH /downloads HTTP/2" 501  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
141.237.199.222 - - [14/Aug/2023:01:32:40 +0300] "DELETE /downloads HTTP/2" 201  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
175.242.102.112 - - [14/Aug/2023:01:33:30 +0300] "PUT /c/csharp.gcc HTTP/1.1" 401  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
100.179.198.82 - - [14/Aug/2023:01:34:44 +0300] "PATCH /google.com HTTP/2" 403  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
2.209.254.206 - - [14/Aug/2023:01:35:40 +0300] "POST /main/yandex.ru HTTP/1.1" 201  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
168.57.10.135 - - [14/Aug/2023:01:36:56 +0300] "POST /forum/openforums.org HTTP/1.1" 401  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
166.243.1.106 - - [14/Aug/2023:01:38:09 +0300] "POST /forum/openforums.org HTTP/1.1" 401  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
50.152.56.235 - - [14/Aug/2023:01:39:01 +0300] "POST /google.com HTTP/1.0" 401  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
121.96.95.146 - - [14/Aug/2023:01:40:14 +0300] "PUT /c/csharp.gcc HTTP/2" 501  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
91.105.244.138 - - [14/Aug/2023:01:41:34 +0300] "POST /main/yandex.ru HTTP/1.1" 503  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
63.146.35.88 - - [14/Aug/2023:01:43:00 +0300] "PUT /downloads HTTP/2" 501  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
92.220.156.72 - - [14/Aug/2023:01:44:22 +0300] "GET /c/csharp.gcc HTTP/2" 201  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
136.135.141.46 - - [14/Aug/2023:01:45:40 +0300] "DELETE /c/csharp.gcc HTTP/1.0" 500  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
166.91.27.109 - - [14/Aug/2023:01:46:42 +0300] "DELETE /google.com HTTP/1.0" 401  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
83.141.190.73 - - [14/Aug/2023:01:47:38 +0300] "PATCH /forum/openforums.org HTTP/1.0" 201  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
246.221.11.188 - - [14/Aug/2023:01:48:49 +0300] "GET /main/yandex.ru HTTP/1.0" 403  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
187.23.189.176 - - [14/Aug/2023:01:50:12 +0300] "PUT /main/yandex.ru HTTP/1.1" 201  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
70.27.21.188 - - [14/Aug/2023:01:51:25 +0300] "GET /google.com HTTP/1.1" 403  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
187.112.63.94 - - [14/Aug/2023:01:52:38 +0300] "GET /main/yandex.ru HTTP/1.0" 404  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
153.154.36.45 - - [14/Aug/2023:01:53:31 +0300] "PUT /downloads HTTP/1.0" 502  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
184.176.239.218 - - [14/Aug/2023:01:54:43 +0300] "PUT /c/csharp.gcc HTTP/1.1" 400  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
