239.111.232.29 - - [13/Aug/2023:00:01:01 +0300] "POST /main/yandex.ru HTTP/1.1" 200  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
179.161.102.14 - - [13/Aug/2023:00:13:39 +0300] "GET /google.com HTTP/1.0" 401  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
211.214.159.67 - - [13/Aug/2023:00:14:59 +0300] "POST /c/csharp.gcc HTTP/1.0" 503  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
94.76.141.241 - - [13/Aug/2023:00:15:50 +0300] "DELETE /downloads HTTP/1.0" 503  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
146.137.225.202 - - [13/Aug/2023:00:16:44 +0300] "PUT /main/yandex.ru HTTP/1.1" 401  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
195.234.39.153 - - [13/Aug/2023:00:17:45 +0300] "GET /google.com HTTP/1.1" 200  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
177.170.147.46 - - [13/Aug/2023:00:18:52 +0300] "GET /main/yandex.ru HTTP/1.1" 403  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
162.89.215.201 - - [13/Aug/2023:00:20:18 +0300] "PATCH /forum/openforums.org HTTP/2" 401  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
48.210.217.254 - - [13/Aug/2023:00:21:22 +0300] "GET /downloads HTTP/1.1" 201  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
77.69.3.108 - - [13/Aug/2023:00:22:24 +0300] "DELETE /c/csharp.gcc HTTP/1.0" 201  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
44.67.228.212 - - [13/Aug/2023:00:23:39 +0300] "DELETE /main/yandex.ru HTTP/2" 403  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
151.147.173.155 - - [13/Aug/2023:00:24:39 +0300] "PUT /forum/openforums.org HTTP/1.0" 502  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
92.94.57.221 - - [13/Aug/2023:00:26:03 +0300] "DELETE /downloads HTTP/2" 503  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
8.177.30.91 - - [13/Aug/2023:00:27:18 +0300] "DELETE /main/yandex.ru HTTP/1.0" 501  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
103.80.127.33 - - [13/Aug/2023:00:28:11 +0300] "POST /google.com HTTP/1.1" 503  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
68.233.137.203 - - [13/Aug/2023:00:29:03 +0300] "GET /main/yandex.ru HTTP/1.1" 503  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
9.91.150.34 - - [13/Aug/2023:00:29:53 +0300] "DELETE /forum/openforums.org HTTP/1.1" 401  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
116.242.237.7 - - [13/Aug/2023:00:30:50 +0300] "POST /main/yandex.ru HTTP/1.1" 200  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
163.157.221.200 - - [13/Aug/2023:00:31:53 +0300] "PATCH /main/yandex.ru HTTP/1.1" 200  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
25.251.254.248 - - [13/Aug/2023:00:33:19 +0300] "PUT /c/csharp.gcc HTTP/1.0" 503  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
178.208.21.28 - - [13/Aug/2023:00:34:32 +0300] "POST /downloads HTTP/1.1" 500  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
41.83.147.124 - - [13/Aug/2023:00:35:38 +0300] "PUT /google.com HTTP/1.0" 404  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
176.166.32.231 - - [13/Aug/2023:00:37:02 +0300] "PUT /downloads HTTP/1.0" 400  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
181.33.249.148 - - [13/Aug/2023:00:37:54 +0300] "DELETE /downloads HTTP/2" 401  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
192.57.76.128 - - [13/Aug/2023:00:39:07 +0300] "GET /google.com HTTP/2" 502  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
82.179.252.154 - - [13/Aug/2023:00:40:16 +0300] "DELETE /google.com HTTP/1.0" 403  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
159.90.36.39 - - [13/Aug/2023:00:41:18 +0300] "DELETE /google.com HTTP/2" 200  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
205.188.202.78 - - [13/Aug/2023:00:42:27 +0300] "GET /google.com HTTP/1.1" 404  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
55.21.132.237 - - [13/Aug/2023:00:43:50 +0300] "DELETE /forum/openforums.org HTTP/1.1" 401  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
180.21.249.185 - - [13/Aug/2023:00:45:11 +0300] "PATCH /google.com HTTP/1.0" 502  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
236.85.223.139 - - [13/Aug/2023:00:46:01 +0300] "PATCH /c/csharp.gcc HTTP/1.1" 404  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
14.36.53.92 - - [13/Aug/2023:00:46:53 +0300] "DELETE /c/csharp.gcc HTTP/1.0" 403  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
175.137.162.1 - - [13/Aug/2023:00:48:13 +0300] "PATCH /google.com HTTP/2" 501  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
196.208.79.213 - - [13/Aug/2023:00:49:24 +0300] "PUT /main/yandex.ru HTTP/2" 501  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
196.133.139.5 - - [13/Aug/2023:00:50:36 +0300] "PATCH /downloads HTTP/1.0" 400  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
116.216.224.112 - - [13/Aug/2023:00:51:30 +0300] "PATCH /downloads HTTP/2" 500  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
30.243.95.47 - - [13/Aug/2023:00:52:33 +0300] "DELETE /downloads HTTP/1.1" 200  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
16.175.157.19 - - [13/Aug/2023:00:53:26 +0300] "GET /c/csharp.gcc HTTP/1.0" 500  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
63.228.215.221 - - [13/Aug/2023:00:54:28 +0300] "GET /forum/openforums.org HTTP/1.1" 400  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
69.71.29.217 - - [13/Aug/2023:00:55:23 +0300] "GET /main/yandex.ru HTTP/1.0" 401  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
199.31.138.235 - - [13/Aug/2023:00:56:42 +0300] "PATCH /c/csharp.gcc HTTP/1.0" 403  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
219.247.16.26 - - [13/Aug/2023:00:57:36 +0300] "GET /downloads HTTP/1.0" 501  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
109.97.186.229 - - [13/Aug/2023:00:58:28 +0300] "DELETE /forum/openforums.org HTTP/1.0" 201  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
74.128.33.23 - - [13/Aug/2023:00:59:32 +0300] "PATCH /c/csharp.gcc HTTP/1.1" 401  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
64.7.202.121 - - [13/Aug/2023:01:00:23 +0300] "GET /downloads HTTP/2" 501  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
64.38.159.112 - - [13/Aug/2023:01:01:37 +0300] "GET /main/yandex.ru HTTP/2" 501  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
224.228.30.49 - - [13/Aug/2023:01:02:36 +0300] "PATCH /forum/openforums.org HTTP/1.0" 401  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
61.139.118.14 - - [13/Aug/2023:01:03:37 +0300] "GET /c/csharp.gcc HTTP/1.0" 502  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
21.148.196.111 - - [13/Aug/2023:01:04:40 +0300] "DELETE /downloads HTTP/1.1" 503  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
160.104.139.200 - - [13/Aug/2023:01:05:57 +0300] "POST /downloads HTTP/1.0" 500  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
201.177.69.104 - - [13/Aug/2023:01:06:49 +0300] "PUT /c/csharp.gcc HTTP/1.1" 500  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
250.168.42.193 - - [13/Aug/2023:01:08:07 +0300] "DELETE /main/yandex.ru HTTP/1.0" 401  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
130.13.12.60 - - [13/Aug/2023:01:09:17 +0300] "GET /downloads HTTP/2" 401  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
244.234.185.63 - - [13/Aug/2023:01:10:14 +0300] "PATCH /downloads HTTP/2" 201  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
14.234.207.151 - - [13/Aug/2023:01:11:29 +0300] "PATCH /forum/openforums.org HTTP/2" 201  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
148.81.250.146 - - [13/Aug/2023:01:12:36 +0300] "POST /google.com HTTP/1.0" 501  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
173.214.98.122 - - [13/Aug/2023:01:13:44 +0300] "DELETE /downloads HTTP/1.0" 404  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
207.133.164.14 - - [13/Aug/2023:01:14:59 +0300] "PUT /downloads HTTP/1.1" 502  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
64.92.84.211 - - [13/Aug/2023:01:16:23 +0300] "PATCH /main/yandex.ru HTTP/1.0" 404  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
186.58.77.79 - - [13/Aug/2023:01:17:14 +0300] "POST /c/csharp.gcc HTTP/1.1" 400  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
152.191.236.188 - - [13/Aug/2023:01:18:18 +0300] "POST /google.com HTTP/1.0" 400  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
90.7.1.70 - - [13/Aug/2023:01:19:26 +0300] "PUT /main/yandex.ru HTTP/1.0" 403  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
70.139.116.171 - - [13/Aug/2023:01:20:44 +0300] "PATCH /downloads HTTP/2" 502  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
55.169.80.112 - - [13/Aug/2023:01:22:07 +0300] "GET /forum/openforums.org HTTP/1.0" 401  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
72.61.225.88 - - [13/Aug/2023:01:23:03 +0300] "PATCH /google.com HTTP/1.0" 404  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
232.72.162.15 - - [13/Aug/2023:01:24:03 +0300] "DELETE /forum/openforums.org HTTP/1.1" 400  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
57.24.181.148 - - [13/Aug/2023:01:25:27 +0300] "DELETE /forum/openforums.org HTTP/1.1" 502  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
148.121.85.92 - - [13/Aug/2023:01:26:30 +0300] "PUT /forum/openforums.org HTTP/2" 400  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
14.137.84.3 - - [13/Aug/2023:01:27:37 +0300] "DELETE /main/yandex.ru HTTP/1.0" 200  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
177.87.68.25 - - [13/Aug/2023:01:28:33 +0300] "PUT /google.com HTTP/2" 400  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
162.83.221.76 - - [13/Aug/2023:01:29:41 +0300] "GET /forum/openforums.org HTTP/1.0" 403  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
122.145.254.20 - - [13/Aug/2023:01:31:03 +0300] "PUT /main/yandex.ru HTTP/2" 501  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
120.139.33.226 - - [13/Aug/2023:01:32:29 +0300] "PUT /main/yandex.ru HTTP/1.1" 401  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
207.60.213.217 - - [13/Aug/2023:01:33:44 +0300] "POST /forum/openforums.org HTTP/1.1" 403  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
156.9.91.79 - - [13/Aug/2023:01:34:35 +0300] "PATCH /main/yandex.ru HTTP/1.1" 501  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
51.109.2.233 - - [13/Aug/2023:01:35:28 +0300] "PATCH /c/csharp.gcc HTTP/1.1" 500  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
171.174.247.60 - - [13/Aug/2023:01:36:30 +0300] "PATCH /c/csharp.gcc HTTP/1.1" 503  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
69.151.192.143 - - [13/Aug/2023:01:37:35 +0300] "DELETE /downloads HTTP/2" 200  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
154.154.221.143 - - [13/Aug/2023:01:38:42 +0300] "GET /forum/openforums.org HTTP/2" 404  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
46.13.226.213 - - [13/Aug/2023:01:39:54 +0300] "PATCH /c/csharp.gcc HTTP/1.1" 503  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
116.9.55.61 - - [13/Aug/2023:01:40:51 +0300] "PUT /forum/openforums.org HTTP/1.1" 500  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
104.169.189.87 - - [13/Aug/2023:01:42:04 +0300] "PATCH /c/csharp.gcc HTTP/1.1" 501  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
188.94.150.138 - - [13/Aug/2023:01:43:10 +0300] "GET /downloads HTTP/2" 501  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
164.1.142.179 - - [13/Aug/2023:01:44:14 +0300] "GET /google.com HTTP/1.0" 400  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
205.185.126.199 - - [13/Aug/2023:01:45:07 +0300] "PATCH /google.com HTTP/2" 401  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
253.161.156.92 - - [13/Aug/2023:01:46:09 +0300] "POST /c/csharp.gcc HTTP/2" 201  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
86.89.231.91 - - [13/Aug/2023:01:47:23 +0300] "DELETE /c/csharp.gcc HTTP/2" 200  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
131.26.186.201 - - [13/Aug/2023:01:48:30 +0300] "PATCH /c/csharp.gcc HTTP/1.0" 200  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
161.231.137.185 - - [13/Aug/2023:01:49:20 +0300] "DELETE /main/yandex.ru HTTP/1.1" 503  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
