88.148.59.116 - - [15/Aug/2023:00:01:11 +0300] "POST /forum/openforums.org HTTP/1.1" 502  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
208.83.129.174 - - [15/Aug/2023:00:21:41 +0300] "DELETE /main/yandex.ru HTTP/1.0" 400  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
225.21.46.148 - - [15/Aug/2023:00:22:54 +0300] "POST /main/yandex.ru HTTP/1.1" 502  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
76.83.142.193 - - [15/Aug/2023:00:24:16 +0300] "PUT /main/yandex.ru HTTP/1.0" 502  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
226.173.205.242 - - [15/Aug/2023:00:25:06 +0300] "PUT /main/yandex.ru HTTP/1.1" 503  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
245.115.4.12 - - [15/Aug/2023:00:25:56 +0300] "POST /main/yandex.ru HTTP/2" 501  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
230.84.51.107 - - [15/Aug/2023:00:27:00 +0300] "DELETE /c/csharp.gcc HTTP/1.1" 401  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
179.219.185.253 - - [15/Aug/2023:00:28:22 +0300] "GET /forum/openforums.org HTTP/1.0" 403  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
32.78.123.219 - - [15/Aug/2023:00:29:14 +0300] "POST /google.com HTTP/2" 401  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
5.83.102.68 - - [15/Aug/2023:00:30:33 +0300] "PATCH /c/csharp.gcc HTTP/1.0" 501  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
243.229.46.21 - - [15/Aug/2023:00:31:37 +0300] "POST /forum/openforums.org HTTP/1.1" 501  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
146.79.217.243 - - [15/Aug/2023:00:32:57 +0300] "GET /google.com HTTP/1.1" 201  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
158.220.218.159 - - [15/Aug/2023:00:34:21 +0300] "PATCH /c/csharp.gcc HTTP/1.1" 401  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
110.142.200.212 - - [15/Aug/2023:00:35:22 +0300] "PUT /downloads HTTP/1.0" 200  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
251.95.169.113 - - [15/Aug/2023:00:36:39 +0300] "POST /c/csharp.gcc HTTP/2" 502  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
95.82.101.207 - - [15/Aug/2023:00:37:51 +0300] "PUT /google.com HTTP/1.1" 404  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
77.177.23.76 - - [15/Aug/2023:00:38:54 +0300] "DELETE /google.com HTTP/1.0" 400  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
83.48.155.12 - - [15/Aug/2023:00:40:15 +0300] "GET /google.com HTTP/1.0" 503  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
152.106.191.78 - - [15/Aug/2023:00:41:08 +0300] "PATCH /downloads HTTP/1.1" 501  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
232.189.204.79 - - [15/Aug/2023:00:42:19 +0300] "DELETE /forum/openforums.org HTTP/2" 201  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
206.204.225.68 - - [15/Aug/2023:00:43:15 +0300] "PATCH /main/yandex.ru HTTP/1.0" 404  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
109.173.210.135 - - [15/Aug/2023:00:44:21 +0300] "DELETE /forum/openforums.org HTTP/2" 404  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
162.124.63.230 - - [15/Aug/2023:00:45:20 +0300] "DELETE /main/yandex.ru HTTP/2" 201  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
147.174.217.119 - - [15/Aug/2023:00:46:13 +0300] "DELETE /c/csharp.gcc HTTP/2" 403  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
217.217.178.103 - - [15/Aug/2023:00:47:35 +0300] "GET /forum/openforums.org HTTP/1.0" 502  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
231.251.136.52 - - [15/Aug/2023:00:48:33 +0300] "POST /forum/openforums.org HTTP/1.1" 404  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
75.133.56.5 - - [15/Aug/2023:00:49:52 +0300] "PATCH /forum/openforums.org HTTP/1.0" 503  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
215.160.7.59 - - [15/Aug/2023:00:50:54 +0300] "PATCH /main/yandex.ru HTTP/1.1" 403  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
68.112.212.223 - - [15/Aug/2023:00:51:50 +0300] "DELETE /c/csharp.gcc HTTP/1.0" 401  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
80.24.83.212 - - [15/Aug/2023:00:53:03 +0300] "PUT /c/csharp.gcc HTTP/1.0" 200  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
77.177.38.149 - - [15/Aug/2023:00:54:27 +0300] "PATCH /c/csharp.gcc HTTP/1.1" 503  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
60.205.235.38 - - [15/Aug/2023:00:55:50 +0300] "POST /downloads HTTP/1.1" 200  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
148.65.240.137 - - [15/Aug/2023:00:57:10 +0300] "PUT /main/yandex.ru HTTP/2" 201  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
86.190.123.201 - - [15/Aug/2023:00:58:07 +0300] "DELETE /downloads HTTP/1.1" 502  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
54.17.159.43 - - [15/Aug/2023:00:59:12 +0300] "POST /forum/openforums.org HTTP/1.0" 501  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
154.6.213.66 - - [15/Aug/2023:01:00:29 +0300] "PATCH /google.com HTTP/2" 201  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
182.147.193.21 - - [15/Aug/2023:01:01:22 +0300] "GET /main/yandex.ru HTTP/1.0" 400  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
169.99.240.111 - - [15/Aug/2023:01:02:28 +0300] "PUT /main/yandex.ru HTTP/2" 502  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
161.72.175.125 - - [15/Aug/2023:01:03:28 +0300] "DELETE /main/yandex.ru HTTP/2" 201  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
107.226.121.99 - - [15/Aug/2023:01:04:43 +0300] "PATCH /main/yandex.ru HTTP/1.0" 501  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
13.203.57.22 - - [15/Aug/2023:01:05:44 +0300] "GET /c/csharp.gcc HTTP/2" 404  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
250.55.150.200 - - [15/Aug/2023:01:07:03 +0300] "DELETE /google.com HTTP/1.1" 201  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
29.26.92.93 - - [15/Aug/2023:01:08:25 +0300] "POST /downloads HTTP/1.0" 200  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
21.57.68.238 - - [15/Aug/2023:01:09:48 +0300] "GET /main/yandex.ru HTTP/1.1" 502  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
126.42.203.170 - - [15/Aug/2023:01:10:38 +0300] "PUT /c/csharp.gcc HTTP/1.0" 201  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
239.120.2.205 - - [15/Aug/2023:01:11:47 +0300] "DELETE /c/csharp.gcc HTTP/2" 401  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
225.197.132.138 - - [15/Aug/2023:01:12:46 +0300] "POST /forum/openforums.org HTTP/1.1" 404  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
39.45.184.11 - - [15/Aug/2023:01:13:51 +0300] "PATCH /forum/openforums.org HTTP/1.1" 400  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
101.89.93.230 - - [15/Aug/2023:01:14:53 +0300] "DELETE /downloads HTTP/1.1" 200  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
24.247.203.91 - - [15/Aug/2023:01:15:51 +0300] "GET /main/yandex.ru HTTP/1.0" 200  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
65.6.152.93 - - [15/Aug/2023:01:17:02 +0300] "PATCH /google.com HTTP/1.0" 404  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
160.237.241.251 - - [15/Aug/2023:01:18:13 +0300] "GET /google.com HTTP/2" 401  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
73.221.158.83 - - [15/Aug/2023:01:19:07 +0300] "PUT /forum/openforums.org HTTP/1.0" 404  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
218.7.101.71 - - [15/Aug/2023:01:20:20 +0300] "DELETE /c/csharp.gcc HTTP/1.1" 400  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
4.70.192.47 - - [15/Aug/2023:01:21:19 +0300] "GET /c/csharp.gcc HTTP/2" 200  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
95.162.67.2 - - [15/Aug/2023:01:22:27 +0300] "POST /downloads HTTP/2" 400  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
83.243.181.92 - - [15/Aug/2023:01:23:17 +0300] "GET /c/csharp.gcc HTTP/2" 500  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
215.33.211.107 - - [15/Aug/2023:01:24:34 +0300] "GET /forum/openforums.org HTTP/1.1" 201  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
28.83.145.250 - - [15/Aug/2023:01:25:24 +0300] "PUT /downloads HTTP/1.0" 201  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
53.147.216.74 - - [15/Aug/2023:01:26:41 +0300] "GET /downloads HTTP/1.0" 200  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
179.216.247.195 - - [15/Aug/2023:01:27:59 +0300] "PUT /forum/openforums.org HTTP/2" 200  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
153.70.199.91 - - [15/Aug/2023:01:29:05 +0300] "DELETE /c/csharp.gcc HTTP/1.0" 400  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
90.33.90.117 - - [15/Aug/2023:01:29:57 +0300] "PATCH /google.com HTTP/1.0" 403  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
225.64.225.78 - - [15/Aug/2023:01:30:48 +0300] "GET /google.com HTTP/2" 500  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
189.253.137.56 - - [15/Aug/2023:01:31:59 +0300] "DELETE /forum/openforums.org HTTP/2" 404  "-" "Mozilla/5.0 (Windows NT 10.3; Win64; x64) AppleWebKit/535.32 (KHTML, like Gecko) Chrome/50.0.3721.142 Safari/600.0 Edge/14.49964"
137.244.230.221 - - [15/Aug/2023:01:32:52 +0300] "GET /c/csharp.gcc HTTP/1.1" 400  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
83.16.43.164 - - [15/Aug/2023:01:33:58 +0300] "DELETE /c/csharp.gcc HTTP/1.1" 400  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
223.182.151.223 - - [15/Aug/2023:01:35:13 +0300] "POST /forum/openforums.org HTTP/2" 403  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
166.37.4.128 - - [15/Aug/2023:01:36:18 +0300] "POST /c/csharp.gcc HTTP/1.0" 403  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
112.169.222.30 - - [15/Aug/2023:01:37:30 +0300] "GET /forum/openforums.org HTTP/2" 501  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
93.21.85.155 - - [15/Aug/2023:01:38:55 +0300] "GET /main/yandex.ru HTTP/2" 200  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_7_6; like Mac OS X) AppleWebKit/603.22 (KHTML, like Gecko) Chrome/55.0.3688.111 Mobile Safari/535.0"
49.239.104.208 - - [15/Aug/2023:01:39:50 +0300] "GET /c/csharp.gcc HTTP/2" 502  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
225.177.141.231 - - [15/Aug/2023:01:41:04 +0300] "GET /downloads HTTP/1.0" 404  "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_9; like Mac OS X) AppleWebKit/600.46 (KHTML, like Gecko) Chrome/54.0.3251.209 Mobile Safari/536.6"
121.33.212.229 - - [15/Aug/2023:01:42:16 +0300] "PATCH /google.com HTTP/1.0" 400  "-" "Mozilla/5.0 (compatible; MSIE 11.0; Windows NT 6.0; WOW64 Trident/7.0)"
80.160.200.42 - - [15/Aug/2023:01:43:10 +0300] "PATCH /main/yandex.ru HTTP/1.1" 500  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
61.149.57.175 - - [15/Aug/2023:01:44:20 +0300] "POST /forum/openforums.org HTTP/1.0" 500  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
238.178.230.241 - - [15/Aug/2023:01:45:35 +0300] "PATCH /downloads HTTP/1.1" 400  "-" "Mozilla/5.0 (Windows NT 10.2; x64; en-US) AppleWebKit/603.5 (KHTML, like Gecko) Chrome/55.0.1250.382 Safari/601"
201.15.11.14 - - [15/Aug/2023:01:46:55 +0300] "PATCH /c/csharp.gcc HTTP/2" 201  "-" "Mozilla/5.0 (iPod; CPU iPod OS 7_4_9; like Mac OS X) AppleWebKit/533.8 (KHTML, like Gecko) Chrome/49.0.2236.394 Mobile Safari/537.7"
162.55.165.190 - - [15/Aug/2023:01:47:46 +0300] "POST /downloads HTTP/1.1" 401  "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.3; x64; en-US Trident/6.0)"
122.13.238.67 - - [15/Aug/2023:01:49:07 +0300] "GET /main/yandex.ru HTTP/2" 500  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
216.21.76.114 - - [15/Aug/2023:01:50:30 +0300] "DELETE /downloads HTTP/1.1" 501  "-" "Mozilla/5.0 (Linux; U; Android 7.0; SAMSUNG GT-I9400 Build/KTU84P) AppleWebKit/603.39 (KHTML, like Gecko) Chrome/52.0.1108.368 Mobile Safari/603.1"
75.170.95.252 - - [15/Aug/2023:01:51:35 +0300] "PATCH /main/yandex.ru HTTP/1.1" 501  "-" "Mozilla/5.0 (Android; Android 5.0.1; SM-P710 Build/LRX22G) AppleWebKit/537.8 (KHTML, like Gecko) Chrome/54.0.1153.339 Mobile Safari/533.7"
48.45.84.240 - - [15/Aug/2023:01:52:46 +0300] "PUT /forum/openforums.org HTTP/2" 500  "-" "Mozilla/5.0 (Android; Android 5.0.2; LG-D700 Build/LRX22G) AppleWebKit/533.30 (KHTML, like Gecko) Chrome/53.0.3182.291 Mobile Safari/602.1"
